locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url,city_district,full_address,floor,year_built,building_type,price_per_sqm_detailed,description_text,has_basement,has_parking,kitchen_type,window_type,ownership_type,equipment,latitude,longitude
Wrocław Psie Pole,ul. Litewska,2.0,51.0,530000,10392.0,Bez pośredników,ponad miesiąc temu,21.0,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-litewska-2-pokojowe-l7a6i1,https://s2.adresowa.pl/oi/45/4b/39daaa_eddf_cover-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-litewska.jpg,Wrocław Psie Pole,ul. Litewska,8 / winda,2005.0,blok,10 392,"Bez pośredników. Sprzedam mieszkanie 51 m², przy ulicy Litewskiej 12. - Blok z 2005 roku, 2 osobne pokoje, duża kuchnia, duży balkon. - Niski czynsz do wspólnoty mieszkaniowej. - Kuchenka, szafy, komody, pralka są nowe, zostały kupione rok temu. - 200 metrów do przystanków autobusowych. W pobliżu sklepy, galeria, przychodnia, szkoły, przedszkola. - Podłączony jest Internet światłowodowy 600 MBit/s z pakietem TV. - Mieszkanie jest wynajmowane, można podpisać umowę najmu z obecnymi lokatorami. - Parking przy bloku. - 8 piętro (ostatnie), nad mieszkaniem jest nadbudówka, a później jest dach. Zapraszam do kontaktu.",,tak,osobna,plastikowe,własność,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka",51.142586,17.131824
Wrocław Rakowiec,ul. Walońska,2.0,46.0,750000,16234.0,Bez pośredników,wczorajnowe,1.0,https://adresowo.pl/o/mieszkanie-wroclaw-rakowiec-ul-walonska-2-pokojowe-v5c6h4,https://s2.adresowa.pl/oi/2a/59/3b9c72_8220_cover-2-pokojowe-mieszkanie-wroclaw-rakowiec-ul-walonska.jpg,Wrocław Rakowiec,ul. Walońska,1 / winda,2011.0,blok,16 234,"Sprzedam mieszkanie w ścisłym centrum Wrocławia - 10 min. spacerem od Rynku i Galerii Dominikańskiej, ( okolice pl. Społecznego i mostu Grunwaldzkiego). Mieszkanie dwupokojowe z balkonem na całą szerokość mieszkania - wyjście na balkon z salonu i z sypialni, ( salon z aneksem kuchennym, sypialnia, łazienka, garderoba, hol z szafą wnękową ). Całość to 46,2 m. kw. Mieszkanie świeżo po gruntownym remoncie, łącznie z wymianą podłogi, drzwi i nowych mebli !!! Mieszkanie do natychmiastowego zamieszkania. Do mieszkania przynależy, komórka lokatorska 11 m. kw. i miejsce parkingowe w garażu podziemnym, obok komórki, ( praktycznie na dwa samochody ).",tak,tak,aneks,drewniane,własność,"Wyposażenie: kuchenka, lodówka, mikrofalówka, piekarnik, pralka, telewizor, zmywarka",51.104576,17.050874
Wrocław Partynice,ul. Zwycięska,3.0,69.0,880000,12754.0,Bez pośredników,wczorajnowe,12.0,https://adresowo.pl/o/mieszkanie-wroclaw-partynice-ul-zwycieska-3-pokojowe-s0e2k5,https://s2.adresowa.pl/oi/13/7d/3b9c22_29e0_cover-3-pokojowe-mieszkanie-wroclaw-partynice-ul-zwycieska.jpg,Wrocław Partynice,ul. Zwycięska,2,2005.0,blok,12 754,"Na sprzedaż mieszkanie o powierzchni 69m2 z przynależącą piwnicą 18m2 (w cenie!). Cena: 880 000 zł. Cisza i sąsiedztwo zieleni to główne cechy tej lokalizacji w bocznej części ulicy Zwycięskiej. Mieszkanie mieści się w budynku koszarowym zaadaptowanym w 2005 roku; usytuowane jest na drugim piętrze (trzecia kondygnacja). Budynek posiada mury z pełnej cegły, szerokie klatki schodowe, przestronne i odgrodzone podwórko wewnętrzne z placem zabaw oraz bardzo dużą piwnicę. Ogrzewanie zapewnia gazowa kotłownia centralna. Wejście na teren Wspólnoty jest zabezpieczone domofonem. Słoneczna ekspozycja: Okna wychodzą na południowy wschód oraz północny zachód, co zapewnia doskonałe doświetlenie wnętrz przez cały dzień. Wnętrze lokalu (standard ""do wejścia""): Lokal jest w bardzo dobrym stanie technicznym (ściany mogą wymagać odświeżenia). Na podłogach znajdziesz wysokiej klasy panele AC5 oraz deskę barlinecką. Rolety elektryczne antywłamaniowe we wszystkich oknach zapewniają wysoki komfort a atestowane drzwi antywłamaniowe poczucie bezpieczeństwa. Mieszkanie nie wymaga inwestycji i oferuje przestronny układ: Salon z nowoczesnym aneksem kuchennym (zabudowa Meble Drzazga), idealny do wspólnego spędzania czasu. Dwie duże sypialnie, zapewniające prywatność domownikom. Dwie garderoby: Jedna z nich posiada przyłącza i może zostać przywrócona do funkcji drugiego WC. Łazienka: Wykończona w dobrym standardzie. Nieruchomość przy ulicy Zwycięskiej której okolice stanowią ""miasto w mieście"", bardzo przyjazne rodzinom z dziećmi. Wszystko, czego potrzebujesz, masz w zasięgu ręki: Zakupy: Żabka (80 m), Paczkomat InPost (150 m), Auchan (400 m), Rossmann (700 m), Biedronka (800 m), Lidl (1,1 km) Usługi: Rozmaite restauracje, kawiarnie, piekarnie i inne. Służba zdrowia: przychodnia ""Twój Lekarz"", apteki oraz liczni specjaliści. Edukacja: żłobki, przedszkola oraz nowoczesna szkoła podstawowa z przedszkolem w budowie (300 m) otwarcie już we wrześniu 2026 roku. Rekreacja: Boisko Piłkarskie ""Florek"" (200 m), Wrocławski Tor Wyścigów Konnych Partynice (500 m), trasy nad rzeką Ślęzą i Park Kleciński. Komunikacja: Przystanek autobusowy (280 m), stacja kolejowa Wrocław Partynice (1,2 km) oraz szybki wyjazd na autostradę A4 (3,4 km). Zapraszam do kontaktu! To mieszkanie to nie tylko świetne miejsce do życia, ale i bezpieczna lokata kapitału w jednej z najbardziej stabilnych dzielnic Wrocławia. Oferta bezpośrednio od właściciela. Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",tak,,aneks,drewniane,własność,"Wyposażenie: internet, kuchenka, lodówka, piekarnik, pralka, zmywarka",51.059671,17.005629
Wrocław,ul. Stanisława Drabika,3.0,65.0,780000,12000.0,Oferta biura nieruchomości,ponad miesiąc temu,15.0,https://adresowo.pl/o/mieszkanie-wroclaw-ul-stanislawa-drabika-3-pokojowe-b3r8v0,https://s2.adresowa.pl/oi/38/71/35efb2_9d01_cover-3-pokojowe-mieszkanie-wroclaw-ul-stanislawa-drabika.jpg,Wrocław,ul. Stanisława Drabika,1,2023.0,apartamentowiec,12 000,"NA SPRZEDAŻ: Nowoczesne 3-pokojowe mieszkanie z 2 balkonami na Jagodnie! Zapraszam do zapoznania się z ofertą sprzedaży nowego, przestronnego mieszkania o powierzchni 65,43 m, zlokalizowanego w dynamicznie rozwijającej się dzielnicy Wrocławia-Jagodno (Krzyki). To idealna propozycja dla osób ceniących komfort, nowoczesne rozwiązania oraz doskonałą lokalizację. Opis mieszkania: Powierzchnia: 65,43 m, Salon z aneksem kuchennym i jadalnią: 23,55 m, Pokój 1: 12,67 m, Pokój 2: 10,94 m, Łazienka: 4,77 m, WC: 2,16 m, Garderoba: 1,72 m Przedpokój: 8,41 m. 2 duże balkony (4,45 m i 10 m), wyjście z każdego pokoju! Piętro: 1/5 (winda, szeroka klatka schodowa) Standard deweloperski możliwość własnej aranżacji Nowoczesne okna 3-szybowe z izolacją akustyczną. Antywłamaniowe drzwi Gerda klasy RC2. Atuty nieruchomości: Nowoczesne osiedle z szerokimi alejkami i zielenią. Cicha i spokojna okolica, idealna dla rodzin. Doskonała komunikacja szybki dojazd do centrum i AOW Bliskość sklepów, restauracji, szkół i przedszkoli. Tylko 5 km do Aquaparku Wrocław i toru kartingowego i 3 km do centrum handlowego z siłownią. Dodatkowe udogodnienia: miejsce postojowe w garażu podziemnym (35 000 zł), wjazd windą bezpośrednio na poziom -1. Cena: Mieszkanie: 780 000 zł + 2 miejsca postojowe: 70 000 zł (obligatoryjnie). Mieszkanie to idealne rozwiązanie dla rodzin, par lub inwestorów szukających nieruchomości w jednej z najbardziej perspektywicznych lokalizacji Wrocławia. BN Open House, tel: [numer] Bez prowizji. Zapraszam do kontaktu i na prezentację! DODATKOWE INFORMACJE: Typ własności: własność Materiał budowlany: silikat Standard: bardzo dobry Typ podłogi: beton Typ ścian: gładź gipsowa Rodzaj okien: PCV Łącze internetowe: tak Liczba linii telefonicznych: 1 Liczba sypialni: 3 Liczba pokoi: 3 Piętro: 1 Liczba pięter: 5 Rok budowy: 2023 Ogrzewanie: inne Typ balkonu: duży Typ kuchni: aneks Czynsz: 700 Typ łazienki: samodzielna Typ budynku: apartamentowiec Głośność: ciche Klatka schodowa: czysta Typ parkingu: parking podziemny Stan lokalu: do wykończenia Ekspozycja: wschód-zachód Domofon: tak Ostatnie piętro: nie Wysokość: 260 DANE KONTAKTOWE: Open House Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,tak,,plastikowe,własność,Wyposażenie: internet,51.05899810791016,17.05299949645996
Wrocław,ul. Michała Bałuckiego,4.0,82.0,1190000,14466.0,Oferta biura nieruchomości,ponad miesiąc temu,15.0,https://adresowo.pl/o/mieszkanie-wroclaw-ul-michala-baluckiego-4-pokojowe-o3e4z5,https://s2.adresowa.pl/oi/51/3f/35b098_cec0_cover-4-pokojowe-mieszkanie-wroclaw-ul-michala-baluckiego.jpg,Wrocław,ul. Michała Bałuckiego,parter,1933.0,kamienica,14 466,"NOWA CENA! PLAC KOŚCIUSZKI/ BAŁUCKIEGO, na sprzedaż mieszkanie 4-pokojowe w zabytkowej kamienicy, w ścisłym centrum miasta. Idealne na kancelarię notarialną, prawniczą, każdą inną biurową, najem krótko lub długoterminowy. Na parterze 4-pietrowego budynku, z wejściem przez okazałą bramę i od podwórka. Mieszkanie ma powierzchnię 82,26 mkw, składa się z 4 dużych pokoi: 14,35 mkw, 22,37 mkw, 15,58 mkw, 13,88 mkw. Jeden pokój z małym aneksem kuchennym. Łazienka z wc o powierzchni 2,75 mkw. Mieszkanie rozkładowe, dwustronne, do pomieszczeń wchodzi się z przedpokoju 13,33 mkw. Wysokość ponad 3 m, co daje poczucie przestrzeni. Puste, do własnej aranżacji, po generalnym remoncie, na podłogach szary gres i wykładzina dywanowa. Do tej pory mieszkanie używane było jako biuro. Wszystkie okna i drzwi nowe. Do mieszkania przynależy piwnica. Ogrzewanie miejskie. Klatka schodowa czysta i zadbana. Cena [numer] zł. Opłaty miesięczne do Zarządcy ( w tym zaliczki na wodę i ogrzewanie) ok 800 zł + prąd i śmieci. Zapraszam na prezentację. BN Open House, Edyta tel: [numer] Lokal z umową najmu do IX.2025, z możliwością przedłużenia. DODATKOWE INFORMACJE: Typ własności: własność Materiał budowlany: cegła Standard: dobry Typ podłogi: wykładzina Typ ścian: gładź gipsowa Rodzaj okien: PCV Łącze internetowe: tak Liczba linii telefonicznych: 1 Liczba sypialni: 4 Liczba pokoi: 4 Piętro: 0 Liczba pięter: 4 Rok budowy: 1933 Ogrzewanie: miejskie Piwnica: tak Typ balkonu: brak Typ kuchni: otwarta Czynsz: 800 Typ łazienki: z wc Typ budynku: kamienica Głośność: jednostronnie ciche Klatka schodowa: czysta Typ parkingu: przy ulicy Stan lokalu: dobry Ekspozycja: wschód-zachód Domofon: tak Ostatnie piętro: nie Wysokość: 300 DANE KONTAKTOWE: Open House Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,,,plastikowe,własność,Wyposażenie: internet,51.10300064086914,17.027999877929688
Wrocław Zgorzelisko,ul. Mroźna,4.0,69.0,670000,9724.0,Bez pośredników,2 dni temu,14.0,https://adresowo.pl/o/mieszkanie-wroclaw-zgorzelisko-ul-mrozna-4-pokojowe-i2t8a4,https://s2.adresowa.pl/oi/20/5b/3b9b0e_eec6_cover-4-pokojowe-mieszkanie-wroclaw-zgorzelisko-ul-mrozna.jpg,Wrocław Zgorzelisko,ul. Mroźna,1,2026.0,,9 724,"Opis OSIEDLE 16 lokali mieszkalnych to kolejna z inwestycji od firmy MEGABUD . Inwestycja znajduje się w dzielnicy Zgorzelisko przy ul. Mroźnej we Wrocławiu. Przedsięwzięcie obejmuje 16 lokali mieszkalnych w zabudowie bliźniaczej. Do lokali przynależą działki o powierzchni od 11 m2 do 159 m2. CENA DOTYCZY MIESZKAŃ NA PIĘTRZE Mieszkania - do każdego mieszkania przynależne dwa miejsca parkingowe w cenie oraz teren przynależny zewnętrzny 11 m2 , INWESTYCJA OBEJMUJE ŁĄCZNIE 16 MIESZKAŃ W KAMERALNYCH BUDYNKACH DWUKONDYGNACYJNYCH W SPOKOJNEJ I CICHEJ OKOLICY ALE DOBRZE SKOMUNIKOWANEJ we Wrocławiu przy ul. Mroźnej tuż obok ulicy Tarasa Szewczenki w okolicach - PSIE POLE obręb Zgorzelisko ) W POBLIŻU LINIE AUTOBUSOWE, SZKOŁY, PRZEDSZKOLA, SKLEPY. W OFERCIE MIESZKANIA NA PARTERZE Z OGRÓDKAMI DO WYŁĄCZNEGO KORZYSTANIA LUB NA PIĘTRZE - Z BALKONAMI ORAZ MIESZKANIA DWUKONDYGNACYJNE Z OGRÓDKAMI. WSZYSTKIE MEDIA: WODA, KANALIZACJA MIEJSKA, PRĄD, GAZ, OGRZEWANIE: GAZ DO KAŻDEGO MIESZKANIA PRZYNALEŻNE 2 MIEJSCA POSTOJOWE, DRZWI ZEWNĘTRZNE STALOWE z WKŁADEM DREWNIANYM FIRMY MAR-TOM, ROLETY ZEWNĘTRZNE STEROWANE ELEKTRYCZNIE, BALUSTRADY BALKONÓW W STYLU NOWOCZESNYM SZKLANE, OGRZEWANIE PODŁOGOWE, Mieszkanie na piętrze o powierzchni 68,90 m2 składa się z : wiatrołap - 3,02 m2 komunikacja - 3,32 m2 salon z kuchnią – 22,44 m2 komunikacja – 4,59 m2 pokój – 7,66 m2 pokój – 11,29 m2 garderoba – 10,52 m2 łazienka – 4,43 m2 wc - 1,63 m2 Termin oddania lokali przewidziano na koniec sierpnia 2026 roku. W OFERCIE POSIADAMY MIESZKANIA NA PARTERZE O POWIERZCHNI 66,55M2 Z OGRÓDKAMI; MIESZKANIA NA PIĘTRZE O POWIERZCHNI 68,90M2 Z BALKONEM ORAZ MIESZKANIA DWUKONDYGNACYJNE O POWIERZCHNI 78,00M2 Z OGRÓDKAMI. POWYŻSZA CENA W OFERCIE DOTYCZY MIESZKANIA NA PIĘTRZE O POWIERZCHNI 68,90 m2 Kontakt : tel .Skontaktuj się lub Skontaktuj się Więcej informacji po przesłaniu zapytania i podaniu adresu email. wizualizacje mają charakter wyłącznie informacyjny i nie stanowią oferty w rozumieniu ustawy Kodeks Cywilny. Aranżacja wnętrz (meble , urządzenia) oraz terenów zewnętrznych służą wyłącznie celom ilustracyjnym.",,,aneks,plastikowe,,,51.135779,17.134054
Wrocław Krzyki,ul. Jabłeczna,3.0,53.0,599000,11302.0,Oferta biura nieruchomości,ponad miesiąc temu,13.0,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-jableczna-3-pokojowe-o7g8a5,https://s2.adresowa.pl/oi/7a/2f/34cbfa_eded_cover-3-pokojowe-mieszkanie-wroclaw-krzyki-ul-jableczna.jpg,Wrocław Krzyki,ul. Jabłeczna,11 / winda,,blok,11 302,"WROCŁAW, KRZYKI, GAJ, UL. JABŁECZNA Na sprzedaż 3 pokojowe mieszkanie z komórką lokatorską, na ostatnim, 11 piętrze, z panoramą na miasto. Mieszkanie o powierzchni 53,2 mkw, na którą składają się: 3 pokoje (jeden przechodni), oddzielna kuchnia, przedpokój, łazienka z wc. Z przestronnego salonu jest wyjście na spory taras. Obok mieszkania znajduje się komórka lokatorska i suszarnia. Sprzedaż spółdzielczo-własnościowego prawa do lokalu, z założoną księgą wieczystą. Zarządzane przez spółdzielnię Budowlani. Opłaty miesięczne to 930 zł, w tym ogrzewanie, zaliczki na wodę, gaz. Prąd jest na oddzielnym liczniku. Wszystkie media miejskie. Mieszkanie jest dwustronne, ekspozycja północ-południe. W pobliżu pełna infrastruktura, Centrum Handlowe Ferio Gaj, supermarkety (Biedronki, Lidl), szkoły, przedszkola, kościół. W pełni rozwinięta dzielnica, tętniąca życiem, oferująca wszystko niezbędne do mieszkania. Zapraszam na prezentację. BN Open House, tel: [numer] DODATKOWE INFORMACJE: Typ własności: spółdzielcze własnościowe Materiał budowlany: wielka płyta Standard: dobry Typ podłogi: panele Typ ścian: gładź gipsowa Rodzaj okien: PCV Łącze internetowe: tak Liczba linii telefonicznych: 1 Liczba sypialni: 3 Liczba pokoi: 3 Piętro: 11 Liczba pięter: 11 Ogrzewanie: miejskie Piwnica: tak Typ balkonu: duży Typ kuchni: widna Czynsz: 930 Typ łazienki: z wc Typ budynku: wieżowiec Głośność: ciche Klatka schodowa: czysta Typ parkingu: przy ulicy Stan lokalu: do odświeżenia Ekspozycja: północ - południe Domofon: tak Winda: tak Ostatnie piętro: tak Gaz w budynku: tak Wysokość: 250 DANE KONTAKTOWE: Open House Treść niniejszego ogłoszenia nie stanowi oferty handlowej w rozumieniu Kodeksu Cywilnego.",,,,plastikowe,spółdzielcze własnościowe,Wyposażenie: internet,51.07899856567383,17.03700065612793
Wrocław Krzyki,ul. Jerzego Kukuczki,4.0,87.0,1198000,13770.0,Oferta biura nieruchomości,2 dni temu,20.0,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-jerzego-kukuczki-4-pokojowe-c1t1b9,https://s2.adresowa.pl/oi/2a/76/3b9aa0_bd3a_cover-4-pokojowe-mieszkanie-wroclaw-krzyki-ul-jerzego-kukuczki.jpg,Wrocław Krzyki,ul. Jerzego Kukuczki,3 / winda,2010.0,blok,13 770,"Na sprzedaż | 4-pokojowe mieszkanie z balkonem | Krzyki | ul. Jerzego Kukuczki, Wrocław Na sprzedaż komfortowe i bardzo funkcjonalne mieszkanie o powierzchni 87 m², położone na 3 piętrze nowoczesnego budynku z 2010 roku, wyposażonego w windę. ✨ Układ i wnętrze: Mieszkanie pierwotnie 4-pokojowe - jeden z pokoi został zaaranżowany jako praktyczna garderoba w zabudowie, co znacząco podnosi komfort codziennego użytkowania. Kuchnia częściowo otwarta na salon, z możliwością wejścia z dwóch stron, tworzy wygodną i nowoczesną przestrzeń dzienną. Duża, elegancka łazienka z oknem i kabiną prysznicową, urządzona w nowoczesnym stylu. W przedpokoju znajduje się szafa wykonana na wymiar, podobnie jak meble w całym mieszkaniu - wszystko zaprojektowane z myślą o maksymalnym wykorzystaniu przestrzeni i estetyce. Dodatkowe atuty mieszkania: • Balkon • Piwnica • Osiedle zamknięte z własnym placem zabaw • Miejsca parkingowe przed budynkiem • Czynsz ok. 1000 zł • Budynek z windą Lokalizacja - Krzyki, jedna z najbardziej cenionych dzielnic Wrocławia Ogromnym atutem nieruchomości jest jej położenie. W najbliższej okolicy znajdują się: ✅ sklepy spożywcze i punkty usługowe ✅ szkoły, przedszkola oraz tereny rekreacyjne ✅ przystanki komunikacji miejskiej zapewniające szybki dojazd do centrum ✅ spokojne, zielone otoczenie idealne dla rodzin ✅ dogodny wyjazd na główne trasy miasta To lokalizacja, która łączy komfort codziennego życia z świetną komunikacją i pełną infrastrukturą w zasięgu kilku minut. Cena: 1 198 000 zł To mieszkanie idealnie sprawdzi się dla rodziny, jak i dla osób ceniących przestrzeń, komfort oraz zabudowy wykonane na zamówienie. Kontakt: Dorota Sak - Doradca ds. Nieruchomości ☎️ [numer]",,,,,własność,,51.071663,17.035538
Wrocław Krzyki,ul. Jesionowa,2.0,40.0,599000,14975.0,Bez pośredników,2 dni temu,13.0,https://adresowo.pl/o/mieszkanie-wroclaw-krzyki-ul-jesionowa-2-pokojowe-x3q7e9,https://s2.adresowa.pl/oi/2a/5a/3b99ee_cd40_cover-2-pokojowe-mieszkanie-wroclaw-krzyki-ul-jesionowa.jpg,Wrocław Krzyki,ul. Jesionowa,6 / winda,2016.0,blok,14 975,"Na sprzedaż 2-pokojowe mieszkanie 40 m² z balkonem | 6. piętro | Świetna lokalizacja. Na sprzedaż funkcjonalne, 2-pokojowe mieszkanie o powierzchni 40 m², położone na 6. (ostatnim) piętrze w zadbanym budynku. Do mieszkania przynależy balkon o powierzchni ok. 5 m², idealny do wypoczynku. Układ i atuty mieszkania: - 2 ustawne pokoje - jasna przestrzeń dzięki położeniu na ostatnim piętrze - balkon 5 m² - mieszkanie idealne zarówno do zamieszkania, jak i pod inwestycję. Lokalizacja: - ok. 2 km do dworca PKP i PKS - ok. 5 km do rynku - bardzo dobra komunikacja miejska: tramwaje i autobusy w pobliżu. Pełna infrastruktura w zasięgu ręki: - szkoły i przedszkola - sklepy osiedlowe, Żabki, markety - restauracje, m.in. McDonald's, KFC - hale targowe - aquapark - kościół - stacja paliw. Mieszkanie znajduje się w doskonałej lokalizacji, zapewniającej szybki dostęp do centrum miasta oraz pełnej infrastruktury handlowo-usługowej. Zapraszam do kontaktu i umówienia się na prezentację.",,,osobna,plastikowe,własność,,51.087218,17.051367
Wrocław Psie Pole,ul. Chałupnicza,2.0,53.0,765000,14571.0,Bez pośredników,3 dni temu,15.0,https://adresowo.pl/o/mieszkanie-wroclaw-psie-pole-ul-chalupnicza-2-pokojowe-j7y5n6,https://s2.adresowa.pl/oi/2d/5e/3b9544_6968_cover-2-pokojowe-mieszkanie-wroclaw-psie-pole-ul-chalupnicza.jpg,Wrocław Psie Pole,ul. Chałupnicza,1 / winda,2019.0,blok,14 571,"Sprzedaż prywatna! Proszę biura Nieruchomości, by nie dzwonili - będę się rozłączać. Na sprzedaż 2-pokojowe, jasne i komfortowe mieszkanie na pierwszym piętrze, w budynku znajduje się winda. Mieszkanie znajduje się na spokojnym i bezpiecznym osiedlu Nowy Port, położonym przy Odrze. Mieszkanie idealne dla rodziny, jak i dla singla. Dla inwestora gotowiec pod wynajem. Idealnie sprawdzi się jako: - lokal na najem krótkoterminowy (Booking, Airbnb) - mieszkanie na wynajem długoterminowy Opis mieszkania: - Powierzchnia: 52,50m2 - Pokój dzienny z aneksem kuchennym: 24,90m2 - Łazienka: 4,27m2 - Pokój: 13,58m2 - Przedpokój: 8,49m2 - Taras: 7,77m2 z widokiem na zieleń - Balkon: 5,77m2 - Ściany nadają się do demontażu: 1,26m2 Mieszkanie gotowe do wprowadzenia bez dodatkowych kosztów remontu. Możliwość demontażu ścianki (kuchnia-pokój), odmalowanie mieszkania już po naszej stronie. Atuty mieszkania: - Dobra lokalizacja i dostęp do komunikacji miejskiej - Pełna infrastruktura w pobliżu: sklepy, punkty usługowe, przedszkole, żłobek, gabinety medyczne - Tereny zielone - Ścieżki rowerowe - Place zabaw - Szybki dojazd do centrum Zadzwoń i umów się na prezentację.",,,aneks,plastikowe,własność,,51.111345,17.126931
